Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Northern Ireland
Areal series, starting in 1836
Last updated 01-Mar-2022 11:05
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1867  120.5   80.4   67.7  121.8   96.2   38.0  162.6   77.0   59.8  164.1   34.1   69.3   322.1   285.7   277.6   258.0  1091.5
1868  115.8   83.1  118.8   60.3   62.6   27.7   21.1  129.6   47.9   82.4  112.5  153.9   268.2   241.7   178.4   242.8  1015.7
1869   99.5  130.7   59.7   69.0   63.4   36.9   58.0   47.0  121.9   52.8  141.9  134.3   384.1   192.1   142.0   316.6  1015.2
1870   94.9   88.4   36.2   45.2   69.4   41.6   49.6   58.8   85.3  247.0   55.9   88.8   317.6   150.8   150.0   388.2   961.1
1871  105.6   87.3   61.7  106.8   21.7   60.4  153.7   75.2   85.6   80.8   73.9   73.1   281.8   190.2   289.3   240.3   985.9
1872  158.5  113.3   78.8   87.0   72.0  125.6   69.6  116.4  162.5  141.6  140.7  157.8   345.0   237.7   311.7   444.8  1423.9
1873  136.6   26.7   63.9   19.5   61.1   48.2  136.2  157.8   80.5  109.4   75.5   38.3   321.1   144.4   342.1   265.4   953.5
1874   69.6   58.0   55.8   67.6   39.1   45.9   81.4  118.5  112.0  127.0  116.7  116.9   165.9   162.5   245.8   355.6  1008.5
1875  137.1   37.7   42.7   14.4   60.1   93.5   81.3   95.2  122.8  146.6  135.7   70.3   291.7   117.2   270.0   405.1  1037.5
1876   54.2  122.5  119.0   65.8   17.2   68.3   52.8   98.2  116.7  133.3  108.9  226.4   246.9   202.0   219.3   358.9  1183.4
1877  196.0   97.3   87.7   87.7   76.0   82.2  114.5  118.8   61.5  122.0  153.2  118.1   519.7   251.4   315.5   336.7  1314.9
1878  120.0   55.9   53.7   58.6  123.4  100.3   23.5  109.0  103.0  117.5   75.9   79.9   294.0   235.7   232.8   296.4  1020.7
1879   68.7   59.4   62.4   60.2  101.3  138.6  157.1  105.8  134.0   51.5   38.1   55.1   208.0   224.0   401.6   223.5  1032.3
1880   48.4   75.8   66.8  111.0   32.3   83.4  141.3   41.4   97.0   39.1  121.4   92.9   179.3   210.0   266.0   257.4   950.7
1881   25.4  114.1  105.1   48.8   67.0  112.8   76.3  110.6   67.1   96.3  117.8  107.0   232.4   220.9   299.7   281.2  1048.3
1882   66.4   76.1   92.6   88.2   68.4  103.5  163.1   90.6  108.4   80.4  178.0  112.4   249.5   249.1   357.2   366.8  1228.0
1883  141.0  115.9   50.2   47.1   59.4   55.6   88.4  127.6  142.8  106.5  127.0   78.8   369.3   156.7   271.6   376.4  1140.3
1884  153.9  101.7   95.5   45.5   80.7   26.8   96.9   77.8   89.7   94.2  109.3  117.3   334.3   221.7   201.5   293.3  1089.3
1885   73.5  108.8   66.4   68.9   62.7   20.5   57.0   58.4  146.1  111.0   67.0   56.3   299.7   197.9   135.9   324.2   896.7
1886  133.2   77.8   89.2   54.0  107.9   54.1   90.1   64.1   93.0  126.2   97.6  147.5   267.4   251.1   208.3   316.8  1134.9
1887   76.0   54.0   38.1   50.2   52.4   20.1   85.2   87.1   99.6   59.9   78.7   90.0   277.5   140.7   192.4   238.2   791.3
1888   67.6   26.1   97.7   53.8   75.8  118.9  152.9  112.9   38.3   47.6  140.3  103.8   183.7   227.3   384.7   226.2  1035.7
1889   92.3   79.6   66.0   87.8   86.9   12.4   92.4  179.4   76.7  114.2   61.3   94.0   275.7   240.7   284.2   252.2  1043.0
1890  122.8   33.0   77.0   40.0   48.7   87.0   78.5  105.2   94.5   69.0  218.2   55.4   249.8   165.7   270.7   381.8  1029.2
1891   53.4    9.5   67.9   68.0   86.2   60.7   73.7  165.5   80.7  121.6   93.2  137.8   118.3   222.0   299.9   295.5  1018.2
1892   82.7   51.8   25.2   27.7  122.9   93.9   76.7  154.5   95.3  111.4  124.9   74.3   272.3   175.8   325.2   331.6  1041.4
1893   78.9  104.8   41.0   37.4   39.4   53.9   85.1  137.1   73.9   95.9   66.4  112.8   258.1   117.8   276.2   236.2   926.7
1894  143.5  132.1   64.7   73.7   70.3   78.6  107.2   71.4    6.8  135.5   82.4  103.8   388.4   208.7   257.3   224.7  1070.1
1895   85.6   20.3  106.7   53.4   15.4   53.8  114.6  145.9   18.4  129.7  110.1  129.2   209.7   175.4   314.3   258.2   983.0
1896   55.2   67.2  121.6   51.7   21.1  100.1  170.1   69.4  136.2   97.9   36.6  130.9   251.6   194.4   339.6   270.7  1058.0
1897   53.7   80.9  145.2   79.6   62.6  170.3   67.2  145.6   63.8   79.2   82.2  135.4   265.5   287.4   383.1   225.2  1165.8
1898   54.2  105.0   40.8  108.7   95.5   86.0   16.7  117.2  115.1  101.6  100.4   93.1   294.7   245.0   220.0   317.1  1034.5
1899  108.8   81.7   60.9  114.8  103.8   66.9   77.4   63.0  112.3   58.9   90.1  156.6   283.7   279.5   207.3   261.4  1095.4
1900  108.1   91.4   27.5   78.5   84.5  114.6   92.5  127.0   69.0  139.8  161.9  119.4   356.2   190.5   334.1   370.7  1214.1
1901   98.5   48.6   87.1   81.7   55.4   87.0   38.1  115.3  105.2  112.1  121.5  111.9   266.5   224.2   240.5   338.8  1062.6
1902   74.7   70.7   63.6   74.2  110.5   60.1  101.4   78.8  101.2   59.4  112.3   92.8   257.2   248.3   240.2   273.0   999.6
1903  162.4   92.9  153.7   47.7   77.6   47.4  125.5  149.5  100.9  169.2   80.2   93.1   348.2   279.0   322.4   350.4  1300.3
1904  108.4  111.9   66.9   72.2   69.4   44.7  103.1  151.4   93.2   51.9   91.9   77.0   313.4   208.5   299.2   237.0  1042.0
1905   73.7   70.3  117.1   66.9   47.7   66.9   56.2  160.9   56.7   58.9  110.3   75.1   220.9   231.7   284.1   225.9   960.7
1906  124.1   82.5   76.5   73.9  115.2   33.0   66.3  122.6   38.8  131.9   91.4  109.4   281.7   265.5   222.0   262.2  1065.6
1907   57.6   72.8  120.9   75.5  110.9  142.8   79.2  104.4   34.0  116.9   84.9  100.1   239.9   307.4   326.4   235.8  1100.2
1908   85.5   80.2  128.2   83.1   67.0   69.8   90.1   82.9  139.2   54.3   89.5  103.3   265.8   278.3   242.9   283.0  1073.2
1909   93.5   63.9  110.0  109.9   58.4   55.2   99.0   67.2   67.3  139.5   46.8  105.9   260.7   278.4   221.5   253.6  1016.8
1910   97.1  150.4   59.2   67.4   66.6  105.7  102.7  167.0   34.8   54.3  102.8  119.2   353.4   193.2   375.4   191.9  1127.2
1911   47.2   97.8   43.9   68.4   53.5   52.3   85.2   63.9   42.3   89.8  119.8  169.4   264.2   165.8   201.4   251.9   933.6
1912  109.0   92.1  127.9   51.1   42.7  153.3  112.8  152.7   33.4   90.4  101.3  143.1   370.5   221.6   418.9   225.1  1209.8
1913  137.6   45.5   97.9  104.8   94.4   84.8   43.2   34.1  106.8   86.3  103.1   98.7   326.2   297.1   162.0   296.3  1037.2
1914   59.6  133.5  127.3   49.5   48.0   37.1   66.2  102.2   47.7   46.4  127.5  188.7   291.7   224.8   205.6   221.5  1033.7
1915  101.7  121.1   33.3   71.8   32.2   64.3  124.4   92.8   37.4   77.0   73.0  168.9   411.6   137.4   281.5   187.4   998.0
1916   89.3  117.3   50.1  118.8  155.0   61.9   70.0   77.6   34.9  175.3  117.3   85.8   375.5   323.9   209.4   327.5  1153.2
1917   66.9   63.9   83.7   74.2   97.7   63.0   64.7  155.2   59.2  172.8  145.0   87.2   216.7   255.6   282.9   377.0  1133.6
1918   90.1  128.8   38.6   39.7   64.6   51.7  103.5  100.9  159.0  115.1  120.2  129.7   306.0   142.8   256.1   394.3  1141.8
1919  119.1   33.0   97.4   53.8   51.0   85.6   21.3   94.0   92.6   52.5   88.7  203.4   281.8   202.2   200.9   233.8   992.5
1920  136.0   76.3   94.3   90.6   98.3   64.3   98.7   68.9   78.6  144.8  106.2  116.1   415.7   283.2   232.0   329.6  1173.1
1921  136.5   29.5   94.6   35.9   63.6   10.8  111.0  103.2   40.3   98.7  105.5  119.3   282.0   194.1   225.0   244.5   948.9
1922  118.8  118.6   50.8  104.3   51.2   64.0  106.1  108.2   80.5   41.4   55.4  105.5   356.7   206.3   278.3   177.3  1004.8
1923  108.5  157.5   59.5   93.5   53.5   37.8   77.4  170.2  129.9  122.1  112.6  122.3   371.5   206.5   285.4   364.6  1244.7
1924  119.1   46.2   29.8   91.0  134.4   86.6  130.6  145.2  151.4   75.0   86.0  130.5   287.6   255.2   362.4   312.4  1225.8
1925   91.7  121.4   52.1  108.4  133.0   22.7  108.5   63.4   95.1   92.3   66.2  101.9   343.7   293.5   194.6   253.5  1056.7
1926  163.2   93.1   53.6   55.6   86.6   70.6   98.3  109.3   72.4  102.1  128.8   42.8   358.2   195.8   278.2   303.3  1076.4
1927  122.8   58.9   89.6   52.3   46.5   99.6   93.6  104.0  135.5   92.9  113.6   60.0   224.5   188.4   297.2   342.0  1069.2
1928  184.3  122.2  102.1   52.6   34.3  135.4   61.9  152.2   88.5  156.4  149.5  102.3   366.5   189.0   349.4   394.4  1341.7
1929   50.6   87.2   13.5   35.5   71.7   71.4   89.4  168.5   32.0  143.6  130.5  203.5   240.1   120.7   329.3   306.1  1097.5
