Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland W
Areal series, starting in 1836
Last updated 01-Mar-2022 11:06
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1878  183.6   90.3   87.4   80.8  111.6   89.5   32.3  117.0  174.5  189.6   66.2   69.7   509.0   279.8   238.8   430.3  1292.6
1879   56.3   79.3  122.3   52.8   73.8  141.6  165.7  165.2  210.5   85.7   55.2  110.1   205.3   248.9   472.5   351.4  1318.6
1880   93.6  166.8   90.5  125.5   50.0   74.9  105.9   38.7  114.6   35.2  183.1  154.8   370.5   266.0   219.5   332.9  1233.6
1881   25.0  129.9  154.7   44.0   92.0  139.3  158.1  131.0   83.9   98.9  226.3  184.4   309.7   290.7   428.4   409.1  1467.4
1882  158.3  151.1  160.5  100.9   75.2  124.7  190.4  110.6  135.5  133.7  221.2  162.0   493.8   336.6   425.7   490.4  1724.1
1883  209.9  175.5   63.0   80.3   82.5   91.6   92.6  173.5  115.3  178.9  225.8  191.0   547.4   225.8   357.8   520.0  1679.9
1884  251.9  190.1  129.1   44.7  125.0   34.3  163.0  104.2  125.0  162.5  155.4  221.4   633.0   298.8   301.5   442.9  1706.6
1885  131.5  189.7  100.7   93.1   84.4   51.8   74.2   94.0  236.9  142.3   98.6  124.0   542.5   278.2   219.9   477.8  1421.1
1886  164.0   76.4  119.2   75.9  106.0   46.6  110.7   91.6  170.3  140.1  155.2  165.6   364.3   301.1   248.9   465.7  1421.6
1887  144.6  117.9   67.7   81.7   44.6   39.3  122.8   99.5  130.0   76.8  126.0  146.3   428.2   194.0   261.6   332.9  1197.3
1888  129.7   49.1  100.1   74.3  122.8   91.0  147.8  129.3   60.2   99.4  222.0  159.4   325.0   297.2   368.2   381.6  1385.2
1889  139.0  110.8   89.2   79.8   93.2   35.9   84.0  168.0   75.2  131.6   96.6  176.9   409.2   262.2   287.9   303.5  1280.2
1890  239.6   31.6  129.4   55.3   84.4  154.3  133.7  122.7  164.5  147.2  281.6   50.5   448.1   269.0   410.7   593.3  1594.8
1891  119.0   41.1  115.2   48.1   65.5   50.0   57.6  204.8  196.3  205.0  150.8  251.1   210.6   228.8   312.4   552.2  1504.6
1892  146.2   75.2   33.8   41.3  154.4  112.4  100.6  205.8  187.1  127.0  157.3   92.7   472.5   229.6   418.9   471.4  1433.9
1893   82.2  166.4   71.3   53.3   76.4   50.8  125.5  142.6  111.7  194.3  111.9  212.7   341.3   201.0   318.9   417.9  1399.1
1894  207.9  280.3  117.3   61.6   96.2   99.7  103.7  133.2    7.9  110.7  175.4  155.0   701.0   275.0   336.6   294.0  1548.9
1895   57.6   25.7  124.3   86.4   17.4   45.8  147.1  190.8   61.8  122.0  172.7  161.7   238.3   228.1   383.6   356.5  1213.2
