East Anglia,England E & NE,England NW & N Wales,England SE & Central South,S Wales & England SW,Midlands,Scotland E,Scotland W,Scotland N,N Ireland
27.2,40.4,75.7,59.2,106.6,37.3,107.9,162.3,140.2,95
66.4,65.9,177.6,122.1,183.7,79.5,136.9,288.5,206.7,158.1
83.5,69.9,129.8,114.3,135.2,80.3,127.2,176.8,188.4,93.7
35,58.2,83.2,55.4,104.5,46.8,103.7,108,96.2,92.4
44.4,49.7,39.9,53.9,57,36.3,58.3,63.8,59.7,47.2
41,31.9,47,36.7,44.9,35.2,40,50.4,54.1,38.8
66.6,67.8,109.7,72.7,79.2,85.8,49.9,75.1,53.7,66
64.5,97.7,84.6,53,48.9,71.4,96.2,100.2,78.1,63
66.5,95,134.1,69.6,112.4,99.7,114.8,173.7,130.7,120.3
84,115.9,210.4,154.6,248.7,149.5,124.2,206.3,148.4,122.7
26.5,54.6,69,42.8,70.1,63.1,76.2,114.8,103.8,69.4
59.2,73.9,163,52,92.1,74.8,96.6,168.8,207.1,127
57.1,66.7,140.3,60.8,119.3,67.1,134.6,232,247.8,121.2
72.2,92.4,134.8,90.5,163.6,84.2,146,140.9,137.7,120.5
34.1,39.7,93.1,51.8,97.4,54.7,76.7,152.4,151.1,80.4
46,55.6,66.4,78.8,126.4,71,74.3,63.9,67.6,67.7
57.4,77.7,139.6,56.7,109.4,80.1,120.5,197.7,168.1,121.8
80.3,60.1,62.4,54.1,95.1,63.2,82.4,76.9,60.9,96.2
24.2,41.6,37.5,41.6,30.4,46.2,54.2,74.4,96.2,38
90.3,88.9,123.8,109.2,114.2,79.5,148.2,127.7,84.6,162.6
44.7,68.3,71,54.4,50.3,62.5,82.9,127.2,90.2,77
51.9,54.9,101.2,53.8,72.8,59.9,78.9,138.3,134.6,59.8
56.8,49.8,142.8,76,158.4,73.3,100.5,197.5,192.9,164.1
17.3,24.1,39.1,25.6,36.4,26.5,25.2,50.4,67.3,34.1
57.8,62.3,111.5,44.7,81.3,54.6,75.3,138.6,170.4,69.3
59.1,71.3,130,107.2,147.7,72.2,159.3,229.3,255.2,115.8
33.2,51.2,111.3,36.5,68.8,53.9,124.9,252,307.9,83.1
45.9,52.7,145.4,43.4,91.1,62.9,101.1,213.2,177,118.8
39.7,64.1,73.1,58,77.5,47.8,108.2,115.3,97.4,60.3
20,27.3,53.6,30.8,56.5,34.2,66.3,116.8,90.3,62.6
18.5,16,17.5,13.6,19.2,11.5,30.5,57.2,99.9,27.7
8.9,16.5,21.7,35.1,28.7,14.2,17.9,32,35.1,21.1
62.3,79.3,113.9,98.7,136.8,97.1,156.2,189.9,227.3,129.6
54,88.5,68.7,83.9,121,75.2,119.8,69.3,79.6,47.9
63.2,72.1,142,70.4,123.8,74.2,92.4,191.4,186.3,82.4
33.8,54.5,89.5,44.6,97.7,47.6,75.5,124.7,114.6,112.5
106.1,156.9,256.3,164.6,253.8,167.9,187.7,266,174.6,153.9
53.2,75.7,146.3,92.3,176,93.7,143.8,202.4,156,99.5
59.1,65.2,159.5,73.5,132.2,78.1,105.8,198.5,203.3,130.7
54.5,54,45.8,47.4,61.5,44.3,45.1,41.3,81.9,59.7
35.4,49.5,76.2,33.4,50.3,45.2,56.5,69.7,86.5,69
76.7,101,91.5,105.4,138.2,117.1,43.3,29.7,44.4,63.4
33.3,40.3,39,35.3,21.2,32.2,67.6,58,59.1,36.9
16.2,18.6,39.6,17.1,29.3,17.2,38.2,80.3,79.7,58
40.9,43.5,64.8,33.1,36,39.3,37.7,42.7,70.6,47
79.4,101.8,230.2,113.7,174.1,120.3,164,229.1,201.7,121.9
52.1,58.3,99.6,56.2,87.7,49,116.4,85.3,161.1,52.8
57.8,65.4,148,58.6,100,66.8,86.4,205.7,237.8,141.9
98,105.4,144.1,96.1,155.3,107.8,121.3,225.6,178.4,134.3
28.1,50.6,106.5,47.6,90.7,52.1,70.3,126.1,97,94.9
23,55.3,79.7,52.6,96.7,49,115,146,84.5,88.4
41.3,41.9,72,48.5,70,46.2,29.8,47.3,46.9,36.2
15.9,20,55.5,10.4,16.5,21.9,35.8,74.8,126.4,45.2
18.3,31.1,69.9,32.9,60.5,31.2,72.9,130.3,80.2,69.4
26.8,54.9,48.9,10.8,17.5,28.3,45.8,69.7,63.1,41.6
46.6,20.8,35.8,35.9,46.9,32,46.9,81.6,76.5,49.6
48.1,50,63,52,62.2,47.6,50.2,54.6,55.5,58.8
40.5,33.1,89.2,50.9,62.7,37.2,88.3,124.4,133.6,85.3
81.2,141.9,251.1,112,208.6,135.8,128.1,214.2,138.3,247
28,60.9,110.6,51.7,112.9,56.9,73.3,77.6,117.3,55.9
84.9,106.4,85.5,77.2,69.6,63,119.9,89.1,134,88.8
26.8,32.1,77.2,69.7,105.4,38.3,65.9,138.2,104,105.6
42.7,59.5,107.3,39.3,82,49.3,119,189.9,130.2,87.3
29.4,29.2,65.2,37.6,59.5,33.5,58.6,130.7,114.4,61.7
73.8,82.1,88.1,94.9,133,78.6,126.1,118.4,72.7,106.8
24.4,35,40.2,18.3,19.6,35.3,28.1,36.6,44.8,21.7
75.6,80.2,70.9,74,68.1,89.4,60.8,68.5,43.1,60.4
74.5,95.6,141.9,96.3,153.1,104.7,123.3,144.7,159.9,153.7
18.4,35.1,70.7,35.7,63.9,36.5,82.1,125.1,107.5,75.2
106.8,130.9,107.8,124.6,156.5,137.1,77.3,66.7,94.9,85.6
29.9,60.9,149.8,43.6,149.8,66.6,116.3,138.9,131.3,80.8
34.1,48,53.5,17.3,43.2,26.4,84.4,128,97.4,73.9
30.7,53.9,110.7,49.4,96.9,43.7,88.8,199.3,154.6,73.1
76.5,90.5,198.4,144.9,221,116,159.2,280.6,201.7,158.5
24.6,75,127.6,51.3,154.4,74.8,156.7,176.5,103.3,113.3
61,76.4,112.8,63.4,118.9,62,89.9,119.1,71.2,78.8
53.6,80.2,77.6,40.7,78.6,78.2,74.1,52.2,99.7,87
62.1,51.8,75.9,78.7,60,53.7,107.1,95.8,111.5,72
70.4,80.4,152.6,72.6,127,110.7,143.9,210.7,175.9,125.6
102.5,114.2,138.3,77.5,120.2,120.6,90.8,124.3,111,69.6
70.6,90,108.7,50.7,75.5,81,114,148.5,108.2,116.4
46.8,114.6,199.3,45.3,120.5,82.1,170.1,222,196.2,162.5
86.5,129.6,206.2,129.2,191,121.4,146.2,158.6,202.2,141.6
93.4,125.4,174.7,127.6,205.8,114.5,185.8,211.5,189.5,140.7
88.6,112.9,161,134.1,206.2,105.1,162.5,225.5,137.6,157.8
55.6,66.4,187.6,99.1,186.3,78.8,145.9,264.7,189.2,136.6
43,42.6,34.5,51.3,69.8,30,44.9,32.6,46.6,26.7
39.8,55.5,90.2,60.6,111.1,67.2,60,85.6,68.7,63.9
25,25.3,26.1,21.7,25.6,20.8,26.8,17.7,62.5,19.5
47.8,58.6,61.4,37.6,60.8,59.7,89.6,79.3,92.6,61.1
52,40.9,58.9,55,54.1,64,49.9,73.4,96.3,48.2
52.5,66.5,120.2,54.8,102,68.7,132.5,183.9,142.1,136.2
53.7,74.7,135,64.2,144.2,78.4,108.8,172.3,152.6,157.8
63.1,55.9,92.2,65.4,80.4,50.8,124.2,139.9,158,80.5
62.6,66.9,150.1,83.5,103,68.7,131.8,228.8,202.7,109.4
42.1,50.3,81.8,67,98.8,56.7,102.9,122.1,144.9,75.5
13.6,19.3,57,16.6,37.7,18.7,84.2,137.9,215.7,38.3
30.6,48.5,128.6,53.1,138.4,64.5,92.2,181.7,205.7,69.6
24.6,41.5,80.2,50,99.7,53,48.9,77.3,62,58
20.4,39,95.9,17.9,62,39.1,77.6,147,170.3,55.8
31.5,36.6,56.4,53.4,66.7,39.8,55.8,100.9,115.8,67.6
26.3,49.3,50.3,22.8,24.4,37.5,53.4,51,70.7,39.1
43.3,26.5,31.3,50.3,44.6,22.1,40.1,45.7,86.5,45.9
30,43,76.6,32.3,54.3,37.3,92.2,109.4,108.3,81.4
37.4,70.6,170.9,57.8,134,73.9,172.2,178.7,173.8,118.5
69.2,65.1,135.3,90.3,162.2,86.5,100.3,193.1,189.1,112
57.3,67.1,188.9,110.4,157.9,81,146.5,280.2,248.1,127
56.1,78.8,142.6,69.3,101.8,77.1,118.1,170.1,147.1,116.7
52.4,89.5,109.8,66.4,147.2,64.3,77.4,84.9,100.9,116.9
55.4,80.3,159.5,106.6,193.9,94.4,157.6,235.1,172.5,137.1
25.9,33.7,45.5,46.4,62.8,38.2,45.3,57.6,64.5,37.7
13.2,21.6,38.8,24.1,44.4,22.7,57.3,64.2,65.5,42.7
28.6,22.8,39,35.6,58.9,34.1,38.4,55.1,69.9,14.4
47.6,34.6,68.2,44.5,80.4,52.6,50.3,93.9,112.3,60.1
68.5,67.1,99.7,74.1,103.4,83.8,81.4,107.5,81.2,93.5
141.6,110.7,114.1,127.6,136,146.4,92.1,67.2,116.3,81.3
28.8,62.1,89.2,41.1,100.4,65.7,81.7,133.4,142,95.2
62.5,69,145.2,57.4,131.2,83.4,125.8,154.6,106.7,122.8
89.6,119.2,144,139.8,199.7,150.4,156.2,161.5,124,146.6
116.7,143.5,138.1,116.6,181.4,113.4,140.1,155.3,137.6,135.7
35.7,49.1,77.1,34.8,60.9,36.2,111.3,153.8,157.8,70.3
40.7,33.9,64.2,33.7,62,48.9,64.7,126.1,138.3,54.2
61.8,74.6,136.4,73.4,138,78.4,129.2,162.2,138.6,122.5
67.4,85.3,112.7,85.1,122.4,86.6,131.7,184.9,211.3,119
66,80.6,87.7,61.1,94.4,74.7,97.1,70.7,97.5,65.8
21.9,27.2,22.2,21.9,11.4,18.5,26.6,25.5,52.3,17.2
45.7,64.8,77.5,44.1,49,55.8,82.2,130,102.3,68.3
40,51.2,80.7,17.7,46.3,41.1,52.3,100.3,92.1,52.8
47.4,56.6,112.4,79.7,124.9,64.4,88.7,147.4,94.2,98.2
109.8,105.2,134.7,112.3,179.3,125.7,109.1,93.5,104,116.7
27.4,56.2,104.4,43.1,132.8,60.7,130.5,201.3,138,133.3
75.1,91.4,119,90.9,138.1,96.6,120.1,92.4,95.5,108.9
108.5,177.7,185.4,180.8,262.4,158.3,262.8,216.4,133.2,226.4
85.5,105.1,201.6,156.3,209.3,113.6,175,287.6,153.5,196
57.2,60.7,130.4,47.3,92.9,61.7,97.2,185.5,183.6,97.3
58.5,76.4,93.7,64.9,87.9,62,68.3,92.8,100.3,87.7
64.3,94.8,79.6,77,115.6,73.3,95.9,91.4,56.8,87.7
47.6,61,92.6,64.1,101,70.3,79.3,91.9,94.7,76
30.5,43.5,78.5,29.1,60.8,39.9,118.8,150.9,176.9,82.2
78,85.4,149,85.4,126.2,93.4,114.1,146,133.7,114.5
83.4,141,171.6,83.1,158.7,117.6,194.9,181.6,133.2,118.8
42.3,73,99,43.7,87.2,67.1,68.7,79,89.4,61.5
38.8,75.6,165.9,64.5,116.7,67.5,147.8,230.9,209.6,122
78.4,72.4,216.2,163,218.6,94,159.1,298.1,241.7,153.2
51.5,56.6,125.7,57.5,92.8,60.8,103.4,235,196.3,118.1
40.5,69.1,115.8,40.1,78.1,58.8,85.3,183.6,151,120
31.7,34.4,61.3,49.1,68,38.1,46.1,90.3,77.6,55.9
25.4,29.4,61.3,36.8,56.7,29,56.2,87.4,138.9,53.7
43,48.1,56.4,77.8,93.2,57.5,48.3,80.8,36.8,58.6
103.9,95.2,127.1,105.4,150.1,127.5,97.2,111.6,98.2,123.4
45.5,67.9,92.1,57.3,92,75.5,79.2,89.5,73.5,100.3
22.2,25.4,29.7,36.8,55.5,32.5,23.4,32.3,70.3,23.5
110.9,142.7,145.3,124,168.6,153.5,152.1,117,105.2,109
35.9,58.3,128.3,38.4,88.4,66.5,113.5,174.5,190.4,103
53.1,65.2,140.5,84.5,163.5,87.4,122.6,189.6,172.5,117.5
129.9,134.5,94.6,92.5,118.7,82.2,109.9,66.2,165.1,75.9
38.5,71.1,77.4,48.1,93.4,50.7,87.3,69.7,115.9,79.9
43.4,31.2,45,84.8,118.2,49.7,55.9,56.3,63.3,68.7
72.8,76.2,99.1,103.4,147.1,80.4,82.1,79.3,61.4,59.4
22.6,33.8,70.1,20.7,43,30.2,96.9,122.3,120.3,62.4
62.2,55.1,56.6,78.4,74.3,65.8,73.4,52.8,47.5,60.2
68.6,68.7,61.7,82.8,81.4,68.2,70.4,73.8,84.2,101.3
104.8,102.9,140.7,116.2,189,128.1,120.7,141.6,80.5,138.6
113.1,112.2,155.4,98.1,124.7,98,122.6,165.7,146.4,157.1
106.5,91,186,138,193.3,134.2,137.5,165.2,146.2,105.8
78,56.7,114.4,84.2,124.9,75,85.9,210.5,148.7,134
23.7,28.3,63.7,25.6,53.6,31.9,43.9,85.7,105.6,51.5
34.9,52,37.8,20.6,20.5,29.5,68,55.2,101.1,38.1
18.4,33.9,81.7,24.5,58.1,32.3,59.1,110.1,127.1,55.1
5.4,11.2,31.2,13,26.5,13.1,50.2,93.6,119.2,48.4
47,59.4,101.8,83.6,133.9,77.8,115.2,166.8,166.4,75.8
22.5,45.4,66.5,27.3,64.2,45,61.9,90.5,75.7,66.8
49.3,60.1,63.5,50.4,68.5,47.9,94.8,125.5,97.5,111
16.9,41.4,58.9,11.2,45.4,47.3,30.4,50,61.6,32.3
73.2,66.4,100,70.3,76,86.3,63.1,74.9,86.7,83.4
121.7,135.7,168.5,106.3,159.4,153.8,118.4,105.9,121.9,141.3
42.1,45.8,55,30.1,25.9,34.7,25.6,38.7,37.9,41.4
90.6,123.3,111.8,110.9,108.8,107.7,94,114.6,100.9,97
127.7,138.5,108.3,162.2,168.1,138.1,74.5,35.2,118.2,39.1
55.3,75.8,156.8,79.8,128.5,69.6,132.6,183.1,183.8,121.4
63.6,86.6,171.6,93.8,161.9,97.4,96.4,154.8,159.1,92.9
28.5,26.8,22.4,45.6,52.2,22.1,36.6,25,38,25.4
67.5,91.7,132.8,76.4,138.7,98.1,101.9,129.9,95.3,114.1
41.6,73.9,111.1,58.1,106.3,65.4,84,154.7,112.8,105.1
28.2,32.6,42.6,16.2,40.5,25.7,31.8,44,56.9,48.8
24.1,41.8,106,32.7,57.5,43.6,71.6,92,81.6,67
48.6,52.7,101.6,57.4,100.8,61.3,83.2,139.3,105.3,112.8
46.8,84.7,110.8,47.5,71.5,60.1,104.2,158.1,158.7,76.3
108.9,139.7,157.9,130.1,153,127.8,121.8,131,110.1,110.6
63.4,95.2,64.9,59.9,64.4,53.4,94.3,83.9,70.3,67.1
70.1,91.3,90.1,62.2,91.6,76,123.4,98.9,116.5,96.3
52.8,75.7,158.8,99.9,164.3,85.8,146,226.3,179.6,117.8
79,79.5,129.7,85.7,131.9,82.8,82.9,184.4,161.3,107
36.6,46.6,107,38.5,99.8,65.2,82.3,158.3,155,66.4
35.6,42.4,98.8,43.4,94.6,60,83.8,151.1,142.8,76.1
37.5,54.2,103.2,33.3,65.8,50.6,110.9,160.5,212.8,92.6
74.5,97.4,119.8,90.6,148.7,95.3,102.1,100.9,95.4,88.2
38,48.8,61.7,42.1,58.8,52.7,65.4,75.2,71.6,68.4
70.8,100.7,143.3,78.1,122.3,105.5,115.9,124.7,114.3,103.5
64.9,86.3,168.6,79,161.8,101.9,130,190.4,131.8,163.1
48.4,76.3,113.9,48.7,122.4,62,70.5,110.6,108.1,90.6
65.1,53.8,77.5,75.2,108.8,65.8,90.1,135.5,137.2,108.4
131.9,118.7,115.8,171.9,195.3,139.1,113.2,133.7,85.6,80.4
76.9,97.2,187.8,92.3,173.8,111.9,141,221.2,174,178
81,117,136.5,75.4,166.7,102.6,154.8,162,159.7,112.4
46,77.2,171.2,69.6,142.1,91.9,129.3,209.9,127.4,141
71.5,73.7,115.4,110,171.1,84.7,126.5,175.5,143.5,115.9
32.1,46.7,53.1,27.2,43.3,29.5,87.8,63,94.6,50.2
40.4,44.5,45.8,34.5,37.7,45,52.2,80.3,57.3,47.1
36.8,48.2,48.8,55.1,56.6,40.7,50.5,82.5,94.1,59.4
74.3,83.3,101.2,50.8,101,88.3,70.1,91.6,60.1,55.6
74.3,103.9,86.7,72.9,105.4,83,139.3,92.6,118.8,88.4
23.6,48.7,94.3,25.2,52.9,36.6,114.3,173.5,162.2,127.6
96.1,123.4,157.8,96,166,132.3,102.4,115.3,113.9,142.8
62.1,83.4,149.3,64.9,126.1,80.5,102,178.9,173.1,106.5
78.4,66.7,144.8,100.4,160.7,95.3,105.4,225.8,200,127
41.7,49.6,99.4,26.3,58.9,35,81.7,191,192.7,78.8
44.4,95.7,166.9,78.6,152.1,89.3,154.9,251.9,226.1,153.9
21.4,44.7,124.5,51.2,131.9,50.8,106.1,190.1,129.6,101.7
28.9,53.4,101.2,53,109,55.7,104.4,129.1,108.3,95.5
31.2,46.2,42.9,41,55.8,43.4,45.9,44.7,39.3,45.5
18.8,31.4,74.2,20,52.7,31.2,73,125,121.7,80.7
30.4,18.9,35.5,56.4,60,47.3,24.7,34.3,56.5,26.8
61.3,99.7,133.4,59.4,105.5,90.4,134.6,163,106.3,96.9
34.6,32.6,47.2,31.7,63.8,47.1,69.9,104.2,111.8,77.8
64.8,45.4,100.4,68.6,80.5,44.9,73.5,125,98.4,89.7
51.8,42.7,79.4,32.7,59.3,36.8,98.3,162.5,203.2,94.2
36.7,44.7,75.9,36.2,71.6,40.2,100.5,155.4,204.5,109.3
58.1,70.6,148.1,87,157.9,74.8,114.3,221.4,193.8,117.3
46.8,53.2,81.4,63.2,103.3,52.7,80.7,131.5,101.1,73.5
56.8,55,147.9,90.4,145.1,78.3,120.3,189.7,171,108.8
29.2,45.2,81,44.7,52.6,37.1,67.3,100.7,107.6,66.4
41.5,51.5,70.1,43.3,93.4,55.2,73.4,93.1,57.8,68.9
70.2,70.6,66.3,79.6,88.7,62.2,105.6,84.4,110.7,62.7
37.8,54.2,64.9,40.7,69.5,70.4,30.5,51.8,89.6,20.5
19.5,25.8,60.1,8.7,28.6,15.2,38.7,74.2,68.7,57
37.4,61.8,75.6,26.3,63.7,60.1,90.3,94,65,58.4
108.8,80.9,149.6,119.5,174.3,93.4,142.2,236.9,204.8,146.1
122,128.8,166.7,103.7,173.5,125.3,88.5,142.3,166.8,111
77.1,59.9,107.2,90.4,133.9,86.7,80.2,98.6,107.5,67
26.4,29.3,58.6,34.4,56.6,27.3,69.2,124,209.3,56.3
66.8,96.5,143.1,104.9,153.5,100.3,119.2,164,162.3,133.2
8.6,23.9,39.8,17.3,40.4,19.4,48.2,76.4,76.3,77.8
37.8,76.3,113.2,48.9,123.6,68.2,102.6,119.2,70.5,89.2
35.6,52.3,71.8,49.9,75.1,53,53.9,75.9,84.4,54
76,101.1,144.2,100.3,119.6,140.7,110.8,106,95.8,107.9
17.4,29.6,52.5,20.4,32.6,32.6,38.5,46.6,76.2,54.1
86.7,103.2,129.9,68.2,104.4,87.1,97.3,110.7,111.4,90.1
44.6,49.7,64.2,37.2,58.5,44.9,47.1,91.6,86.7,64.1
33,49.2,142.4,47.3,107.2,57,103.7,170.3,122.6,93
71.6,111.7,166.6,100,196.1,115.1,126.3,140.1,107.4,126.2
68.9,82.6,119.8,92.7,130.9,61.7,100.1,155.2,163.2,97.6
90.7,105,168.7,133.9,183,110,102.7,165.6,181.3,147.5
40.1,50.3,93.9,64.9,101.2,62.9,82.2,144.6,170.3,76
15,21.2,50.2,19.4,29.4,19.3,60,117.9,136.4,54
38.1,44.7,55,42.9,56.4,39.7,54.5,67.7,64.6,38.1
31.3,30.5,53.9,38.3,39.5,30.7,57.3,81.7,88.8,50.2
49.7,48,58.9,41.1,55.1,49.6,35.4,44.6,54.8,52.4
13.3,7.4,24,28.9,14.8,28.2,21.9,39.3,48.7,20.1
25.7,37.9,67.7,22.2,53.5,31.6,70,122.8,119.2,85.2
45.1,49,67.5,56.4,56.8,45.9,76.3,99.5,104.8,87.1
58.5,90.8,126.5,71.3,108.3,69.6,110.6,130,117.2,99.6
55.3,65.4,81.5,42.9,93.3,57.7,60.3,76.8,129.4,59.9
64.4,74.1,80.8,106.5,115.7,58.2,112,126,118.3,78.7
31.2,58.5,105.5,54.2,103.8,50.3,83.5,146.3,141.9,90
22.8,27.9,55.2,25.6,53.6,24.9,83.6,129.7,124.6,67.6
40.5,39.8,31.7,36.6,29.5,32.5,42.1,49.1,84.3,26.1
70.1,89.7,81.5,93.2,121.6,75.2,109.2,100.1,109.2,97.7
42.3,53.7,61.2,45.1,54.6,50.4,59.8,74.3,95.2,53.8
22.2,23.6,44.2,38.3,52,26.4,70.8,122.8,103.8,75.8
48.3,55,67.5,75,93.2,61.3,78.4,91,70.4,118.9
113.1,140,182.2,132.6,181.9,139,140.8,147.8,97.8,152.9
70.1,62.9,111.9,53.9,102.9,71,73.4,129.3,120.2,112.9
35,38.5,41.1,32.1,36.9,27.6,31.2,60.2,65.3,38.3
28.5,27.6,94.8,45,67.1,22.4,84.2,99.4,194.4,47.6
83.4,118.7,178.6,122.9,224.2,138,188.5,222,195.3,140.3
30.8,42.8,109.2,52.7,134.8,62.5,85.9,159.4,110.8,103.8
21,33.5,60.1,25.5,49.2,29.3,55.7,139,128.8,92.3
42.6,42.4,71.6,57.9,78.8,47.2,77.8,110.8,174,79.6
33.2,71.5,79,56.1,100.7,78.3,55.9,89.2,118.6,66
53.6,75,100.9,63.6,81.8,87.8,110.8,79.8,82.6,87.8
89.4,71.5,85.5,63.3,81.7,89.7,64.7,93.2,52.8,86.9
45.4,12,23.7,30.8,19.3,20.2,26.7,35.9,24.3,12.4
76.5,66.6,86.2,67.7,98.6,66,85.7,84,48.8,92.4
68.4,105,149.6,64.7,104.2,85.3,164.9,168,181.1,179.4
65.6,39.7,80.8,33.6,56.6,55,35.2,75.2,94.5,76.7
93.7,126.1,138.7,128.9,138.1,89.3,118.3,131.6,100.2,114.2
30.5,24.7,66.9,31.2,65.6,29.4,45.7,96.6,124.8,61.3
32.9,40.2,107.4,46.2,85.1,47.7,74.9,176.9,157.4,94
54.7,71.3,173,80.4,168.5,85.2,161.5,239.6,264.6,122.8
21.8,33.1,26.4,24.3,34.2,20,37.6,31.6,37.7,33
62.5,53.3,89.4,45,60.9,46.6,87.1,129.4,173.7,77
23.6,21.5,43.4,60.2,70.2,27,40.7,55.3,79,40
45.5,59,74.1,46.8,74,56.9,60.8,84.4,48.9,48.7
63.5,66.4,99.8,67.8,89.1,57.1,92.7,154.3,121.2,87
93.9,58.6,91.2,97.6,104.5,70.7,96.4,133.7,139.7,78.5
57.5,107.4,137.7,77.8,102.9,83.2,103.2,122.7,152.2,105.2
17,40.8,83,30.1,51.2,35,82.1,164.5,105.4,94.5
38.4,44.5,86.3,30.9,75.2,42.3,106.5,147.2,263.2,69
67.8,99.2,218.1,62.8,142.7,91.4,176.7,281.6,178.3,218.2
15,34.4,26,22.8,62.9,21.1,54.1,50.5,38.3,55.4
44.8,42.3,85,62.6,101.9,54.3,64.5,119,139.3,53.4
1.5,3.1,9.5,1.2,4.5,3.4,18,41.1,122.7,9.5
38,56.4,56.4,59.7,67.5,39.2,95.9,115.2,119.4,67.9
23,49.7,66,21.1,62,47.1,40.7,48.1,31.2,68
72.1,64.1,77.3,72.3,95.1,84.4,66.2,65.5,90.2,86.2
37.4,32.3,81.2,39.3,69.7,62.7,27.3,50,61.4,60.7
85.8,94.2,91.6,74.6,79.8,66.4,96,57.6,141.3,73.7
96,115.4,215.9,135.3,199.2,121.1,158,204.8,156.9,165.5
24.6,60.9,151.7,34.5,92.7,48.3,143.6,196.3,161.8,80.7
113.3,91.8,168.1,186.7,257.4,142.6,116.2,205,142.8,121.6
46.5,77.1,121.5,79.1,127.1,71.8,113.2,150.8,127.3,93.2
77.4,97.6,221,104.3,186,109.4,146.2,251.1,191,137.8
21.5,38.6,101.4,21.2,74.3,45.7,88.2,146.2,187.6,82.7
49.2,58.7,63.3,36.8,76.7,44.8,70.2,75.2,96.8,51.8
29.6,32,36.9,30.7,31.1,23.1,35.7,33.8,52.3,25.2
36.9,37.1,41,27.7,39.4,27.1,31.1,41.3,60.9,27.7
36.6,77.3,109,25.4,45,61,92.8,154.4,118.1,122.9
78.6,96.2,94.3,58.6,60,77.4,90.7,112.4,90.6,93.9
63.2,49.4,79.5,60.6,67.4,60.4,68,100.6,94.8,76.7
76.7,88.2,164.4,94.4,114.2,76,142,205.8,142.5,154.5
63.5,62.2,154.2,67.8,96.1,71,92.8,187.1,195.5,95.3
137.9,149.8,171.6,121.9,129.1,102.5,159.5,127,170.3,111.4
44.5,39.3,91.4,71.2,102.2,49.3,86.1,157.3,131.3,124.9
31.8,28.1,73.5,44.9,67.6,35.9,47,92.7,115.4,74.3
45.7,42.3,56.9,52.5,80.1,45,65,82.2,124.9,78.9
66.2,85.3,146.7,97.2,155.1,84.2,119.8,166.4,139.6,104.8
8.5,15.5,40.2,11.6,17.4,13.5,31.9,71.3,92,41
3.1,11.7,19.3,1.4,7.6,10.2,34.5,53.3,52.3,37.4
26.5,43.9,57.6,22.7,54.6,52.5,45.5,76.4,60.3,39.4
25.4,39.5,62.6,25.7,39.2,36,72.7,50.8,46.6,53.9
81.8,77.1,97.5,87.7,124.6,77.3,85.9,125.5,113.8,85.1
51.9,55,110.8,30.9,67.4,53.9,100.5,142.6,135.1,137.1
25.8,45.5,112.4,51,74.3,42.3,80.3,111.7,203.8,73.9
66.9,45.3,124.8,103.8,128.9,66.6,95.3,194.3,221,95.9
73.3,76,86.4,62.1,80.7,49,92.5,111.9,190,66.4
41.7,61.9,147.2,74,146.2,78.8,112.5,212.7,248.1,112.8
46.7,61.5,127.7,88,128.4,61.6,142.7,207.9,180.9,143.5
34.8,89.1,165.1,53.1,103.6,77.2,202.3,280.3,253.1,132.1
22.7,33.8,88,41.1,84.1,43.6,69.4,117.3,162.9,64.7
42.7,41,55.3,55.9,70.6,50.5,42.1,61.6,26.9,73.7
52.7,58.8,97.6,47.6,85.8,55.3,107.5,96.2,99.7,70.3
59.6,86.3,80.3,57.8,66.2,61.8,68.5,99.7,66.6,78.6
85.5,72.7,94.9,117.8,129.1,78.7,98.7,103.7,140.8,107.2
63.7,73.5,126.1,59.6,109.3,72.5,146.1,133.2,168.6,71.4
40,27.7,21.7,65.3,64.7,38.7,20.1,7.9,18.3,6.8
65.5,117,137.2,109.2,155.8,93.6,101.3,110.7,69.2,135.5
82,47,140,131,194.4,81.3,84,175.4,147.8,82.4
53.1,57.8,121.2,60.4,107.4,61.2,96.1,155,169.6,103.8
64.8,107.9,93.4,69.8,133,92.7,95.9,57.6,98.3,85.6
9.7,24.4,15.1,6.2,5,7,33.9,25.7,31.2,20.3
44.6,68.8,120,49.3,101.5,58.6,103.4,124.3,136.2,106.7
29.1,40,74.3,53.1,74.8,53.9,53,86.4,101.7,53.4
18.2,20.9,21.6,9.3,15.7,17.4,22.5,17.4,49.3,15.4
18.8,53.1,47.2,16.5,36.1,36,70.3,45.8,94.7,53.8
91.7,129.3,155.4,97.6,116.2,98.2,124.3,147.1,123,114.6
82.4,78.7,124.5,65.9,107.5,69.1,148.6,190.8,153.3,145.9
19.6,21.2,44.1,21.5,27,23.4,39.7,61.8,106.8,18.4
64.8,104.1,142.1,90.8,135.7,80.1,124.1,122,175.5,129.7
73.2,83.3,138.9,130.9,186.1,103.7,128,172.7,128.7,110.1
49.9,62.3,109.3,69.6,129.1,65.8,130.2,161.7,150.1,129.2
27.6,29.2,62.9,23.4,40.8,27.9,51,101.9,153.5,55.2
14.8,20.1,54,9.9,26.5,20,40.1,98.2,90.1,67.2
78.6,71.5,156.2,82.7,126.3,79.4,87.5,186.6,184,121.6
23.2,26.2,50.3,17.4,26.1,29.6,45.5,80.5,116.7,51.7
12,19.4,13.4,7.7,3.7,10.7,26.7,24.9,46.2,21.1
58.7,66.4,85.1,66.2,56.4,65.6,90.4,116.3,118.8,100.1
