East Anglia,England E & NE,England NW & N Wales,England SE & Central South,S Wales & England SW,Midlands,Scotland E,Scotland W,Scotland N,N Ireland
93.3,83.4,171.6,143.8,267.3,132.5,113.5,91.4,113.6,165.1
21.6,23.8,96,40.8,96.5,38.1,108.7,206.9,186.4,66.2
32.9,38.3,119.8,54.9,123.3,59.3,118.6,176.1,214.6,74.8
58.3,71.6,41.9,58.8,81.7,66.2,52.2,43.5,33.6,75.7
22.8,24,40.2,24,50,27.4,50.2,56.9,70,54
44.9,75.5,160.4,56.5,113.9,71.8,101.8,134.5,119.6,80.5
105.3,96.5,94.8,122,114.9,104.3,95.4,79.9,72.1,135.4
46.7,63.1,93.2,51.8,110.2,69.7,53,69.9,34.9,95.1
57.5,79.8,125.7,52.1,59.2,67.2,117.5,140.1,116.4,127.1
117.2,70.4,106.8,90.1,105.3,86.5,83.3,116.2,93.8,115.3
22.4,15.7,21.2,18.6,23.9,21.1,27.1,50.5,43.8,29.5
112.1,108.3,232.6,113.9,196.3,129.7,134.4,214.6,219.9,155.1
56.7,70.3,162.5,69.1,130.2,77.2,120.5,176.2,167.7,114.4
7.9,10.6,38.9,17.8,35.6,13.1,31.2,81.4,106.4,67.5
49.8,48.1,89,67.5,84.2,42.1,86.3,125,135.5,102.3
55.3,53.9,93.8,75,113.3,65,106.6,130.6,135.5,123.5
52.1,56.9,105.3,75.9,104.3,70.2,80,128.8,127.3,89.2
7.5,14.9,42.7,11.2,24.6,11.7,23.9,65,65.6,36.7
12.7,10.2,5.2,9.3,3.3,7.6,22.8,9.2,24.9,8.3
40,53.2,58.4,30,39.1,30.9,104.1,128.8,101,104.5
58,75.8,94,48.7,58,65.7,82.5,107,70.4,91.8
59.2,58.8,113.7,66.4,105.5,69.6,79.6,81.3,116.4,90.6
39,59.2,109.1,35.6,57.5,62.6,76.6,72.3,70,64.2
104.2,46.8,108.3,118.9,128.8,65.1,59.9,82.9,102.9,119.1
76.4,65.9,69.4,99.3,123.1,79,165.8,103.7,213.4,71.6
13.5,15.5,15.9,14.7,41.8,10.6,46.2,29.1,43.3,22.9
54.5,36.6,96,73,103.6,43.6,85.3,154.2,122.9,125.2
19.2,27.9,41.1,32.5,58.2,23.6,59.9,74.5,83.1,48.6
42.7,57.9,79,29.7,37.3,46,71.5,97.2,115.1,48.4
35,46.9,76.8,33.8,63,43.6,46.6,76.1,37.2,78.7
70.8,71.9,50.4,61.1,41.9,59.7,49.9,39.7,50,31.8
41.1,80.2,97.9,45.4,83.1,75.6,99.9,114.1,77.3,111.7
55.9,77.1,99.7,55.7,90.1,84.1,82,90.5,87.4,128.9
74.2,145.6,175.2,69.2,113.9,110.4,103,84.7,117.4,48.6
34,56.4,98.8,68,119.7,64.9,100.7,127.3,107.4,72.1
37.9,99.2,108,49.3,56.4,58.9,169.2,236.4,220.4,150.4
46.6,44.8,109,77.6,138.2,58,116.8,189.1,149.2,136.7
69.3,82.8,181.9,70.2,123.4,95.5,116.9,207.1,247.9,130
65.6,69.9,119.2,102.7,142.9,79.4,101.7,178.9,120.8,117.8
21.7,22.4,60.7,37.7,54.9,27.5,68.8,115.6,124.4,57.1
27.6,52.2,111.4,47.3,84.2,47.3,76.6,149.2,121,92.9
80.6,122,124.5,67.9,100.8,113.4,96.3,64.3,90.6,75.3
27.9,42.7,41.3,43.2,66.7,35.8,67.7,67.3,46.1,49.1
20.7,54.3,87.9,31.8,61.8,47.2,115.1,137,118.1,53.7
45.9,96.9,140.9,55.4,121.7,71.6,157.2,214.5,126.4,120.6
71.7,74.8,138.2,96.2,103.9,101.1,131.9,161.4,154.2,97.1
44,39.9,53,51.1,65.7,41.7,97.8,89.6,73.9,90.8
95.6,131.4,184.3,146.4,161.8,122.8,184.5,176.1,207.4,141.4
34.3,53,92.3,48.5,101.1,39.3,93.6,148.9,133.5,124.4
39.3,65.9,58,35.1,52,26.2,50.9,62.7,101.3,48.2
31.6,43.4,73.3,46.2,96.2,52.5,59.7,84.9,38.9,125.1
26.3,35.3,77,41.5,65,39.9,41.4,71.7,80.8,53.6
24.3,31.4,52.5,27.3,89.9,33.9,36.4,47,40.5,40.6
32.9,47.1,68.1,31.2,67.6,43.7,63,94.8,116.9,76.8
57.1,122.2,107.6,45.5,88.8,89.1,125.9,104.6,85.4,89
64.6,62.2,81.8,44.4,69.7,58.6,75.7,79.3,99.8,48.3
24.9,28.3,39.6,24.2,57.5,27.1,74.5,64.8,91.8,36.7
44.8,40.2,82.8,37.2,60.1,44.1,48.9,88.6,106.3,33
44.2,36.4,125.5,44.8,77.5,60.3,58.4,123.7,142.8,80.8
58,80.5,158.6,76.4,199.8,96.8,156.1,194.1,169.3,74.3
46.7,66.4,141.2,55.3,90,54.3,106.5,195.6,179.3,94.7
59.7,110.5,194.4,91.3,173,103.1,178.3,205.5,197.6,180.6
27,36.5,71,47.3,72.6,34.4,67.3,95.3,84.3,74.7
69.8,119.2,206.1,95.1,155,101.8,228.4,262.8,287.8,176
82.9,103.8,114.6,83,110.9,93.3,114.7,124.1,117.6,120.2
70.6,50.6,68.8,96.5,113.3,70.5,68.6,51.1,76.2,78
8.7,25.1,44.3,14.8,41.5,22.5,35.4,53.5,58,31.4
89.4,136.6,137.3,102.5,129.4,123.5,147.7,122.2,137.3,68.8
53.5,71.6,111.4,70.6,95.7,68.9,91.4,140.9,121.4,115.6
85.6,88.1,162,111.7,146.7,115.2,94.7,116.1,91,98.1
91.7,82.9,95.7,79.3,109.5,101.1,41.9,57.3,41.7,83.4
116.5,138.3,152.3,133.2,137,121.3,142.6,133.5,134.8,111.1
34.3,49.9,104.9,47.5,80.5,36.9,113.9,171.3,185.6,91.5
45.9,53.9,131,90.5,161.5,73.1,100.6,153.1,101.8,82
38.6,74.3,160.9,53.5,105.5,71.1,163.9,243.9,238.2,151.2
35.6,22,59.3,55.6,66.9,36.1,77.3,131.5,184.9,78.6
23.2,34.7,33.2,22.1,35.3,22.3,46.5,53.5,84.6,58.1
54.2,82.8,70.3,82.8,93,72.1,66.8,84.1,53.9,86.5
93.8,59.5,72,76.5,97.5,64.6,73,97.4,47.3,79.3
22.1,39,36.2,22.4,29.5,39.3,60.4,56.6,95.5,43.2
63.3,79.9,128.1,61.8,82.7,74.8,106.8,131.2,128.1,103.7
34.2,63.4,120.2,26.5,65.2,47,74,109.5,99.1,74.6
69.2,75.8,117.2,88.9,120.5,100.2,56.9,61.4,100.2,134.8
71.8,90.6,149.5,95,109,80.1,70,117.6,100,95.3
38.2,53.1,127.3,39.2,88.1,45.5,106.7,194.9,130.8,108.2
77.4,92,96,75.8,125.6,84.8,98.8,80.2,86.6,139.2
35.4,63.5,84.3,33.4,64.1,44.2,84.1,90.8,85,148.7
24.5,49.9,109.3,42.9,78.4,43.8,135.1,235.4,201.1,132.8
14.8,17.4,39.5,8.2,27.9,15.4,22.3,50.3,71.4,41.5
45.4,56.6,102.3,84.4,139.6,69.2,76.3,119.2,58.8,119.5
56.9,42.8,66.2,68.5,69.2,51.3,75.6,67.6,83.6,55.5
16,42.4,66.6,42.3,51,33,50.2,84,84.6,54.1
101.2,96.1,114.8,84.9,74.5,92.1,61.4,114.5,63.5,113.6
39.4,48.5,132.8,57.2,82.6,52.1,101.2,155.1,153.6,81
38.1,44.9,65.3,54.3,97.2,46.2,67.5,91.8,96.8,89.6
45.9,73.9,97.8,44.9,67.7,48.9,79.5,118.8,181.3,97.5
52.1,66.8,147.5,72.5,124,68.3,126.3,180.8,197.7,103.1
44.2,28.1,92.9,54.6,108.4,48.4,84.7,148.9,179.3,65
60.6,71.4,190.8,97.1,211.1,79.5,163.2,241.7,156,166.6
17.9,28.7,77.4,27.8,48.1,23.5,54,128.8,86.8,66.5
93.4,72.9,120.8,99.3,151.4,81.4,147.1,151.1,148.6,76.1
58.2,50.3,51.8,48.2,54,36.4,76.4,62.9,56.7,34.9
24.5,27.7,45.6,24.4,42,34.7,24.5,31.4,53.2,46.4
37,74.5,119.8,38.3,68.4,73.2,83.2,122.7,90.4,99.7
98.7,85.8,100.1,84.1,98.9,82.1,96.8,139.8,94.7,109.4
54.1,63.3,104.8,49.4,76.1,55,102.1,144.6,96.4,90.6
21.6,62.5,64.5,8.4,28,28.7,42.8,42.9,33.6,74
66.6,48.1,130.6,83.5,121.9,64.1,76.3,138.6,134.9,101.5
49.5,36.3,67.9,22.8,63.1,25.2,50,53,81.3,57.4
20.6,24.6,55.7,26.9,68.7,35,40,89.3,107.6,58.2
90,88,197.5,126.2,219.8,108.6,203.6,288.2,255.1,148.7
43.6,43.7,144.5,31.8,69.9,52.8,104.7,158.3,142.5,109.6
12.3,14,15.9,10.7,23.3,11.9,18.7,25.1,20.4,47.9
14.8,14.2,19.7,16,39.1,11.9,16.6,28.2,12.8,59.6
